"filename", "language", "JSON with Comments", "TypeScript", "SCSS", "TypeScript JSX", "JavaScript JSX", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 21, 47
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 18048, 0, 0, 1, 18049
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\package.json", "JSON", 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 61
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\App.tsx", "TypeScript JSX", 0, 0, 0, 151, 0, 0, 0, 0, 0, 14, 165
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\app\store.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\context.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\data.ts", "TypeScript", 0, 122, 0, 0, 0, 0, 0, 0, 0, 9, 131
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\features\blogAsyncThunk.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\features\blogSlice.ts", "TypeScript", 0, 111, 0, 0, 0, 0, 0, 0, 5, 22, 138
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\features\tabSlice.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\blog\src\features\themeSlice.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
