"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\About.tsx", "TypeScript JSX", 75, 0, 0, 10, 85
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\CategoryPosts.tsx", "TypeScript JSX", 5, 0, 0, 3, 8
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Contact.tsx", "TypeScript JSX", 63, 0, 0, 9, 72
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Error.tsx", "TypeScript JSX", 21, 0, 0, 6, 27
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\FAQ.tsx", "TypeScript JSX", 5, 0, 0, 3, 8
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Home.tsx", "TypeScript JSX", 85, 0, 1, 14, 100
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Login.tsx", "TypeScript JSX", 245, 0, 0, 29, 274
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\NewPost.tsx", "TypeScript JSX", 511, 0, 275, 43, 829
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Notification.tsx", "TypeScript JSX", 12, 0, 0, 4, 16
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Post.tsx", "TypeScript JSX", 708, 0, 4, 66, 778
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Profile.tsx", "TypeScript JSX", 354, 0, 3, 34, 391
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Search.tsx", "TypeScript JSX", 71, 0, 2, 7, 80
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\Signup.tsx", "TypeScript JSX", 45, 0, 1, 11, 57
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\AuthorInfo.tsx", "TypeScript JSX", 53, 0, 1, 8, 62
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\DisplayPosts.tsx", "TypeScript JSX", 95, 0, 0, 7, 102
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\DisplayUsers.tsx", "TypeScript JSX", 23, 0, 0, 4, 27
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\Footer.tsx", "TypeScript JSX", 47, 0, 0, 5, 52
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\InfoForm.tsx", "TypeScript JSX", 597, 0, 2, 63, 662
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\Loading.tsx", "TypeScript JSX", 56, 0, 0, 13, 69
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\MainPost.tsx", "TypeScript JSX", 54, 0, 0, 7, 61
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\Navbar.tsx", "TypeScript JSX", 201, 0, 6, 20, 227
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\PostLoading.tsx", "TypeScript JSX", 54, 0, 0, 10, 64
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\SearchForm.tsx", "TypeScript JSX", 33, 0, 0, 5, 38
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\Sidenav.tsx", "TypeScript JSX", 57, 0, 0, 8, 65
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\SidenavPart.tsx", "TypeScript JSX", 37, 0, 0, 4, 41
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\SinglePost.tsx", "TypeScript JSX", 188, 0, 0, 18, 206
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\SkeletonLoad.tsx", "TypeScript JSX", 30, 0, 0, 6, 36
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\form\GenderInput.tsx", "TypeScript JSX", 52, 0, 1, 7, 60
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\form\ImageInputField.tsx", "TypeScript JSX", 45, 0, 0, 6, 51
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\form\LocationInput.tsx", "TypeScript JSX", 72, 0, 4, 8, 84
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\components\index.ts", "TypeScript", 0, 24, 0, 2, 26
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\dashboard\Bookmarks.tsx", "TypeScript JSX", 5, 0, 0, 3, 8
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\dashboard\UserPosts.tsx", "TypeScript JSX", 89, 0, 0, 7, 96
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\dashboard\index.tsx", "TypeScript JSX", 66, 0, 0, 6, 72
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\index.ts", "TypeScript", 0, 41, 0, 2, 43
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\settings\AccountSettings.tsx", "TypeScript JSX", 106, 0, 0, 16, 122
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\settings\ProfileSettings.tsx", "TypeScript JSX", 333, 0, 14, 40, 387
"c:\Users\SELENE\Desktop\Web Dev\PROJECTS\Blog\blog\src\pages\settings\index.tsx", "TypeScript JSX", 39, 0, 0, 5, 44
"Total", "-", 4532, 65, 314, 519, 5430
